,coef_down,coef_same,coef_up,max_abs_coef
num__VIX_Lag3,-0.4455345659164452,0.0,0.0,0.4455345659164452
num__VIX_Lag1,0.19951773345602902,-0.41375323789935714,0.0,0.41375323789935714
ticker__ticker_WY,0.2088641238448084,0.0,0.0,0.2088641238448084
ticker__ticker_VTR,0.0,0.17996375673471715,0.0,0.17996375673471715
ticker__ticker_FRT,0.0,0.16531189028070448,0.0,0.16531189028070448
ticker__ticker_BXP,0.0,-0.15940543604835417,0.0,0.15940543604835417
num__Return_Lag1,0.0,0.0,-0.13177472992280398,0.13177472992280398
ticker__ticker_ARE,0.0828833960373153,-0.11384219320897315,0.0,0.11384219320897315
num__VIX_Lag2,0.1134218650473834,-0.016473670767197118,0.0,0.1134218650473834
num__Sentiment_Lag10,0.0,0.0,-0.11271906558791914,0.11271906558791914
num__VIX_Lag20,0.0,0.016137322383955214,-0.10692695117815758,0.10692695117815758
num__IPI_IPI_SA,-0.086313129099632,0.0,0.0,0.086313129099632
num__Return_Lag10,-0.0827157067844479,0.0003197016836792166,0.0,0.0827157067844479
num__Return_Lag2,0.05599537846112909,0.0,-0.07647951198507297,0.07647951198507297
num__Return_Lag5,0.0,0.0034188928925935787,-0.06138092470099107,0.06138092470099107
num__op_margin,-0.011009472978269414,0.05893878528923789,0.0,0.05893878528923789
num__Sentiment_Lag1_cubic,-0.02364434956473136,0.05891334554177567,0.0,0.05891334554177567
num__Return_Lag20,-0.02202852772852844,0.0,0.053246048178248954,0.053246048178248954
num__VIX_Lag5,0.0,0.0,-0.05092703183841904,0.05092703183841904
num__Sentiment_Lag2,0.011270692088088183,-0.05070069455826547,0.0,0.05070069455826547
num__Sentiment_Lag1_squared,0.0,0.03880809762661601,-0.047331474770990416,0.047331474770990416
num__roa,0.0,0.0,-0.047172383514419096,0.047172383514419096
num__VIX_Lag10,-0.045727171538513134,0.0,0.04317411226256593,0.045727171538513134
num__Sentiment_Lag20,0.03607392090943691,0.0,-0.04317273689064022,0.04317273689064022
num__ocf_to_assets,0.04279584234703097,0.0,-0.0015266689376883164,0.04279584234703097
num__Return_Lag3,0.0,0.03301253041419094,-0.02049464793481653,0.03301253041419094
num__Sentiment_Lag3,0.03272387666441164,0.0,-0.009817710111479411,0.03272387666441164
num__debt_to_equity,-0.017986460323077724,0.03095846433301895,0.0,0.03095846433301895
ticker__ticker_O,0.0,0.027699065906224368,0.0,0.027699065906224368
num__IPI_IPI,0.0,0.023522184945431478,0.0,0.023522184945431478
num__free_cf_margin,0.0,0.0,-0.02315993535396989,0.02315993535396989
num__IPI_IPI_SA_YOY,0.0,0.022632675975104596,0.0,0.022632675975104596
num__roe,0.0,0.018648281045394195,0.0,0.018648281045394195
num__revenue_growth,0.017090222098653622,0.0,-0.0042420328133432215,0.017090222098653622
num__IPI_IPI_QOQ,0.0,0.0,-0.015404330219346679,0.015404330219346679
num__liquidity_ratio,0.0,-0.010284319323832747,0.0,0.010284319323832747
num__GDP_GDP_NSA_PC_YOY,0.0,-0.007466008103867403,0.0,0.007466008103867403
num__GDP_GDP_SA_PC_QOQ,0.0,-0.00746600810386439,0.0,0.00746600810386439
num__GDP_GDP_NSA_PC_QOQ,0.0,-0.0074660081038589385,0.0,0.0074660081038589385
num__GDP_GDP_SA_PC_YOY,0.0,0.00746600810384403,0.0,0.00746600810384403
ticker__ticker_CBRE,0.0,0.0,0.005125328422661899,0.005125328422661899
num__Sentiment_Lag1,0.0,0.0,0.0,0.0
num__Sentiment_Lag5,0.0,0.0,0.0,0.0
num__current_ratio,0.0,0.0,0.0,0.0
num__UNEMP_UNRATENSA_PC1,0.0,0.0,0.0,0.0
num__UNEMP_UNRATENSA,0.0,0.0,0.0,0.0
num__UNEMP_UNRATE_PCH,0.0,0.0,0.0,0.0
num__UNEMP_UNRATE_PC1,0.0,0.0,0.0,0.0
num__UNEMP_UNRATE,0.0,0.0,0.0,0.0
num__IPI_IPI_SA_QOQ,0.0,0.0,0.0,0.0
num__IPI_IPI_YOY,0.0,0.0,0.0,0.0
ticker__ticker_AVB,0.0,0.0,0.0,0.0
ticker__ticker_CPT,0.0,0.0,0.0,0.0
ticker__ticker_CSGP,0.0,0.0,0.0,0.0
ticker__ticker_DOC,0.0,0.0,0.0,0.0
ticker__ticker_DLR,0.0,0.0,0.0,0.0
ticker__ticker_EQIX,0.0,0.0,0.0,0.0
ticker__ticker_AMT,0.0,0.0,0.0,0.0
ticker__ticker_CCI,0.0,0.0,0.0,0.0
num__UNEMP_UNRATENSA_PCH,0.0,0.0,0.0,0.0
ticker__ticker_EXR,0.0,0.0,0.0,0.0
ticker__ticker_ESS,0.0,0.0,0.0,0.0
ticker__ticker_EQR,0.0,0.0,0.0,0.0
ticker__ticker_HST,0.0,0.0,0.0,0.0
ticker__ticker_KIM,0.0,0.0,0.0,0.0
ticker__ticker_MAA,0.0,0.0,0.0,0.0
ticker__ticker_IRM,0.0,0.0,0.0,0.0
ticker__ticker_INVH,0.0,0.0,0.0,0.0
ticker__ticker_PSA,0.0,0.0,0.0,0.0
ticker__ticker_PLD,0.0,0.0,0.0,0.0
ticker__ticker_REG,0.0,0.0,0.0,0.0
ticker__ticker_SBAC,0.0,0.0,0.0,0.0
ticker__ticker_UDR,0.0,0.0,0.0,0.0
ticker__ticker_SPG,0.0,0.0,0.0,0.0
ticker__ticker_VICI,0.0,0.0,0.0,0.0
ticker__ticker_WELL,0.0,0.0,0.0,0.0
